distance,loss
699.900,30.510
700.000,30.540
700.100,30.568
700.200,30.594
700.300,30.620
700.400,30.646
700.500,30.673
700.600,30.700
700.700,30.728
700.800,30.757
700.900,30.786
701.000,30.815
701.100,30.845
701.200,30.873
701.300,30.902
701.400,30.929
701.500,30.956
701.600,30.983
701.700,31.010
701.800,31.038
701.900,31.067
702.000,31.097
702.100,31.130
702.200,31.164
702.300,31.200
702.400,31.236
702.500,31.270
702.600,31.301
702.700,31.328
702.800,31.349
702.900,31.362
703.000,31.368
703.100,31.367
703.200,31.362
703.300,31.355
703.400,31.349
703.500,31.346
703.600,31.349
703.700,31.360
703.800,31.382
703.900,31.412
704.000,31.447
704.100,31.485
704.200,31.522
704.300,31.554
704.400,31.579
704.500,31.593
704.600,31.593
704.700,31.580
704.800,31.556
704.900,31.525
705.000,31.489
705.100,31.450
705.200,31.411
705.300,31.374
705.400,31.343
705.500,31.317
705.600,31.293
705.700,31.270
705.800,31.247
705.900,31.220
706.000,31.188
706.100,31.150
706.200,31.102
706.300,31.047
706.400,30.987
706.500,30.923
706.600,30.860
706.700,30.798
706.800,30.741
706.900,30.691
707.000,30.651
707.100,30.619
707.200,30.594
707.300,30.572
707.400,30.551
707.500,30.528
707.600,30.499
707.700,30.463
707.800,30.416
707.900,30.360
708.000,30.297
708.100,30.231
708.200,30.165
708.300,30.102
708.400,30.047
708.500,30.001
708.600,29.969
708.700,29.950
708.800,29.943
708.900,29.944
709.000,29.951
709.100,29.961
709.200,29.972
709.300,29.981
709.400,29.985
709.500,29.984
709.600,29.979
709.700,29.974
709.800,29.968
709.900,29.966
710.000,29.967
710.100,29.975
710.200,29.992
710.300,30.016
710.400,30.047
710.500,30.081
710.600,30.116
710.700,30.150
710.800,30.180
710.900,30.203
711.000,30.218
711.100,30.224
711.200,30.224
711.300,30.219
711.400,30.213
711.500,30.207
711.600,30.204
711.700,30.207
711.800,30.219
711.900,30.239
712.000,30.266
712.100,30.298
712.200,30.332
712.300,30.366
712.400,30.399
